driverId,total_points,avg_points,race_count,avg_position,wins,win_rate
270,0.0,0.0,2,15.5,0.0,0.0
271,0.0,0.0,1,12.0,0.0,0.0
272,0.0,0.0,1,9.0,0.0,0.0
273,0.0,0.0,1,11.0,0.0,0.0
274,0.0,0.0,1,9.0,0.0,0.0
275,0.5,0.07142857142857142,7,12.571428571428571,0.0,0.0
276,0.0,0.0,5,12.8,0.0,0.0
277,0.0,0.0,5,11.6,0.0,0.0
278,83.0,1.6274509803921569,51,6.901960784313726,0.0,0.0
280,12.0,0.3870967741935484,31,9.838709677419354,0.0,0.0
282,0.0,0.0,1,14.0,0.0,0.0
284,0.0,0.0,3,14.333333333333334,0.0,0.0
286,0.0,0.0,1,14.0,0.0,0.0
287,0.0,0.0,1,11.0,0.0,0.0
288,8.0,1.0,8,7.375,0.0,0.0
289,289.0,2.8333333333333335,102,6.009803921568627,14.0,0.13725490196078433
290,3.0,0.17647058823529413,17,10.823529411764707,0.0,0.0
291,0.0,0.0,1,11.0,0.0,0.0
292,0.0,0.0,2,13.5,0.0,0.0
293,0.0,0.0,3,15.0,0.0,0.0
294,1.0,0.16666666666666666,6,9.5,0.0,0.0
296,0.0,0.0,4,15.25,0.0,0.0
297,0.0,0.0,1,10.0,0.0,0.0
298,2.0,0.2857142857142857,7,9.714285714285714,0.0,0.0
300,0.0,0.0,1,17.0,0.0,0.0
301,0.0,0.0,1,18.0,0.0,0.0
302,0.0,0.0,1,13.0,0.0,0.0
304,248.0,3.1794871794871793,78,4.794871794871795,8.0,0.10256410256410256
305,29.0,1.0740740740740742,27,7.925925925925926,0.0,0.0
306,77.0,1.5714285714285714,49,6.673469387755102,1.0,0.02040816326530612
307,10.0,0.47619047619047616,21,8.476190476190476,0.0,0.0
308,0.0,0.0,2,16.0,0.0,0.0
309,61.0,2.9047619047619047,21,5.761904761904762,2.0,0.09523809523809523
311,0.0,0.0,1,8.0,0.0,0.0
312,8.0,1.1428571428571428,7,7.714285714285714,0.0,0.0
313,0.0,0.0,4,11.5,0.0,0.0
314,7.0,0.4375,16,10.125,0.0,0.0
317,13.0,1.625,8,6.5,0.0,0.0
320,11.0,1.0,11,9.090909090909092,1.0,0.09090909090909091
321,1.0,0.5,2,8.5,0.0,0.0
322,0.0,0.0,6,8.833333333333334,0.0,0.0
323,0.0,0.0,1,9.0,0.0,0.0
324,0.0,0.0,1,10.0,0.0,0.0
327,89.0,3.0689655172413794,29,5.0344827586206895,1.0,0.034482758620689655
328,360.0,5.714285714285714,63,2.9523809523809526,27.0,0.42857142857142855
329,0.0,0.0,13,11.461538461538462,0.0,0.0
330,0.0,0.0,7,12.0,0.0,0.0
331,0.0,0.0,1,12.0,0.0,0.0
332,5.0,0.7142857142857143,7,10.571428571428571,0.0,0.0
333,6.0,0.5,12,9.583333333333334,0.0,0.0
337,0.0,0.0,7,11.142857142857142,0.0,0.0
338,0.0,0.0,5,13.0,0.0,0.0
340,6.0,1.0,6,8.666666666666666,0.0,0.0
341,180.0,3.3333333333333335,54,4.7592592592592595,6.0,0.1111111111111111
342,0.0,0.0,1,16.0,0.0,0.0
344,0.0,0.0,1,12.0,0.0,0.0
345,71.0,2.4482758620689653,29,5.310344827586207,2.0,0.06896551724137931
346,68.0,1.3076923076923077,52,7.134615384615385,2.0,0.038461538461538464
347,39.0,0.78,50,7.32,1.0,0.02
348,0.0,0.0,1,13.0,0.0,0.0
350,8.0,1.0,8,7.0,0.0,0.0
351,3.0,0.75,4,7.25,0.0,0.0
352,0.0,0.0,4,12.0,0.0,0.0
353,0.0,0.0,3,9.0,0.0,0.0
355,0.0,0.0,1,14.0,0.0,0.0
356,261.0,3.5753424657534247,73,4.63013698630137,14.0,0.1917808219178082
357,2.0,0.5,4,7.5,0.0,0.0
358,109.0,4.36,25,4.2,6.0,0.24
359,9.0,2.25,4,5.25,0.0,0.0
360,196.5,3.119047619047619,63,4.682539682539683,4.0,0.06349206349206349
361,20.0,2.2222222222222223,9,5.555555555555555,0.0,0.0
362,0.0,0.0,2,10.5,0.0,0.0
363,3.0,1.0,3,8.333333333333334,0.0,0.0
364,133.0,3.022727272727273,44,5.295454545454546,4.0,0.09090909090909091
365,0.0,0.0,1,10.0,0.0,0.0
368,0.0,0.0,2,10.5,0.0,0.0
370,11.0,0.9166666666666666,12,8.75,0.0,0.0
373,274.0,5.48,50,3.84,25.0,0.5
374,27.0,1.35,20,6.4,0.0,0.0
375,17.0,2.8333333333333335,6,5.0,1.0,0.16666666666666666
376,6.0,1.0,6,8.666666666666666,0.0,0.0
379,0.0,0.0,1,12.0,0.0,0.0
380,0.0,0.0,3,10.333333333333334,0.0,0.0
382,0.0,0.0,3,11.0,0.0,0.0
383,8.0,0.5333333333333333,15,8.2,0.0,0.0
385,58.0,2.0714285714285716,28,6.142857142857143,1.0,0.03571428571428571
386,107.0,2.7435897435897436,39,5.282051282051282,1.0,0.02564102564102564
387,14.0,4.666666666666667,3,3.0,0.0,0.0
388,2.0,0.4,5,7.0,0.0,0.0
389,1.0,0.16666666666666666,6,9.666666666666666,0.0,0.0
390,0.0,0.0,2,8.0,0.0,0.0
392,0.0,0.0,1,11.0,0.0,0.0
394,14.0,1.4,10,8.0,1.0,0.1
395,0.0,0.0,1,8.0,0.0,0.0
396,3.0,0.75,4,7.25,0.0,0.0
397,12.0,1.5,8,6.0,0.0,0.0
399,1.0,0.25,4,9.0,0.0,0.0
400,0.0,0.0,1,11.0,0.0,0.0
401,8.0,0.6666666666666666,12,8.416666666666666,0.0,0.0
402,0.0,0.0,1,9.0,0.0,0.0
403,98.0,2.9696969696969697,33,5.151515151515151,3.0,0.09090909090909091
404,47.0,1.8076923076923077,26,6.884615384615385,1.0,0.038461538461538464
405,2.0,0.5,4,9.75,0.0,0.0
406,0.0,0.0,2,9.5,0.0,0.0
407,0.0,0.0,1,14.0,0.0,0.0
408,26.0,1.4444444444444444,18,6.666666666666667,0.0,0.0
409,0.0,0.0,1,12.0,0.0,0.0
410,1.0,1.0,1,6.0,0.0,0.0
411,0.0,0.0,1,11.0,0.0,0.0
412,0.0,0.0,1,14.0,0.0,0.0
413,0.0,0.0,1,10.0,0.0,0.0
418,21.0,0.9545454545454546,22,8.0,0.0,0.0
420,0.0,0.0,1,11.0,0.0,0.0
423,3.0,1.5,2,6.5,0.0,0.0
424,0.0,0.0,1,13.0,0.0,0.0
425,0.0,0.0,3,12.0,0.0,0.0
427,72.33,1.6438636363636363,44,6.136363636363637,2.0,0.045454545454545456
428,0.0,0.0,1,10.0,0.0,0.0
429,2.0,0.2857142857142857,7,7.714285714285714,0.0,0.0
430,4.0,0.17391304347826086,23,10.08695652173913,0.0,0.0
431,0.0,0.0,3,8.333333333333334,0.0,0.0
432,0.0,0.0,1,10.0,0.0,0.0
433,2.0,2.0,1,5.0,0.0,0.0
434,0.0,0.0,4,10.25,0.0,0.0
435,7.0,2.3333333333333335,3,4.666666666666667,0.0,0.0
436,0.0,0.0,2,12.0,0.0,0.0
437,0.0,0.0,9,11.11111111111111,0.0,0.0
438,0.0,0.0,2,9.5,0.0,0.0
439,0.0,0.0,1,14.0,0.0,0.0
440,3.0,0.375,8,7.875,0.0,0.0
441,0.0,0.0,1,10.0,0.0,0.0
448,0.0,0.0,1,7.0,0.0,0.0
449,14.0,3.5,4,6.75,1.0,0.25
453,3.0,0.6,5,8.0,0.0,0.0
454,4.0,1.3333333333333333,3,8.0,0.0,0.0
