raceId,year,round,name,driverId,surname,position,points
220,1997,14,Austrian Grand Prix,30,Schumacher,6,1
220,1997,14,Austrian Grand Prix,71,Hill,7,0
220,1997,14,Austrian Grand Prix,65,Herbert,8,0
220,1997,14,Austrian Grand Prix,81,Morbidelli,9,0
220,1997,14,Austrian Grand Prix,77,Berger,10,0
220,1997,14,Austrian Grand Prix,79,Katayama,11,0
220,1997,14,Austrian Grand Prix,50,Verstappen,12,0
220,1997,14,Austrian Grand Prix,64,Diniz,13,0
220,1997,14,Austrian Grand Prix,22,Barrichello,14,0
221,1997,15,Luxembourg Grand Prix,35,Villeneuve,1,10
221,1997,15,Luxembourg Grand Prix,55,Alesi,2,6
221,1997,15,Luxembourg Grand Prix,49,Frentzen,3,4
221,1997,15,Luxembourg Grand Prix,77,Berger,4,3
221,1997,15,Luxembourg Grand Prix,64,Diniz,5,2
221,1997,15,Luxembourg Grand Prix,44,Panis,6,1
221,1997,15,Luxembourg Grand Prix,65,Herbert,7,0
221,1997,15,Luxembourg Grand Prix,71,Hill,8,0
221,1997,15,Luxembourg Grand Prix,81,Morbidelli,9,0
221,1997,15,Luxembourg Grand Prix,63,Salo,10,0
222,1997,16,Japanese Grand Prix,30,Schumacher,1,10
222,1997,16,Japanese Grand Prix,49,Frentzen,2,6
222,1997,16,Japanese Grand Prix,56,Irvine,3,4
222,1997,16,Japanese Grand Prix,57,Häkkinen,4,3
222,1997,16,Japanese Grand Prix,55,Alesi,5,2
222,1997,16,Japanese Grand Prix,65,Herbert,6,1
222,1997,16,Japanese Grand Prix,21,Fisichella,7,0
222,1997,16,Japanese Grand Prix,77,Berger,8,0
222,1997,16,Japanese Grand Prix,23,Schumacher,9,0
222,1997,16,Japanese Grand Prix,14,Coulthard,10,0
222,1997,16,Japanese Grand Prix,71,Hill,11,0
222,1997,16,Japanese Grand Prix,64,Diniz,12,0
222,1997,16,Japanese Grand Prix,50,Verstappen,13,0
223,1997,17,European Grand Prix,57,Häkkinen,1,10
223,1997,17,European Grand Prix,14,Coulthard,2,6
223,1997,17,European Grand Prix,35,Villeneuve,3,4
223,1997,17,European Grand Prix,77,Berger,4,3
223,1997,17,European Grand Prix,56,Irvine,5,2
223,1997,17,European Grand Prix,49,Frentzen,6,1
223,1997,17,European Grand Prix,44,Panis,7,0
223,1997,17,European Grand Prix,65,Herbert,8,0
223,1997,17,European Grand Prix,76,Magnussen,9,0
223,1997,17,European Grand Prix,75,Nakano,10,0
223,1997,17,European Grand Prix,21,Fisichella,11,0
223,1997,17,European Grand Prix,63,Salo,12,0
223,1997,17,European Grand Prix,55,Alesi,13,0
223,1997,17,European Grand Prix,82,Fontana,14,0
223,1997,17,European Grand Prix,58,Marques,15,0
223,1997,17,European Grand Prix,50,Verstappen,16,0
223,1997,17,European Grand Prix,79,Katayama,17,0
224,1996,1,Australian Grand Prix,71,Hill,1,10
224,1996,1,Australian Grand Prix,35,Villeneuve,2,6
224,1996,1,Australian Grand Prix,56,Irvine,3,4
224,1996,1,Australian Grand Prix,77,Berger,4,3
224,1996,1,Australian Grand Prix,57,Häkkinen,5,2
224,1996,1,Australian Grand Prix,63,Salo,6,1
224,1996,1,Australian Grand Prix,44,Panis,7,0
224,1996,1,Australian Grand Prix,49,Frentzen,8,0
224,1996,1,Australian Grand Prix,73,Rosset,9,0
224,1996,1,Australian Grand Prix,64,Diniz,10,0
224,1996,1,Australian Grand Prix,79,Katayama,11,0
225,1996,2,Brazilian Grand Prix,71,Hill,1,10
225,1996,2,Brazilian Grand Prix,55,Alesi,2,6
225,1996,2,Brazilian Grand Prix,30,Schumacher,3,4
225,1996,2,Brazilian Grand Prix,57,Häkkinen,4,3
225,1996,2,Brazilian Grand Prix,63,Salo,5,2
225,1996,2,Brazilian Grand Prix,44,Panis,6,1
225,1996,2,Brazilian Grand Prix,56,Irvine,7,0
225,1996,2,Brazilian Grand Prix,64,Diniz,8,0
225,1996,2,Brazilian Grand Prix,79,Katayama,9,0
225,1996,2,Brazilian Grand Prix,83,Lamy,10,0
225,1996,2,Brazilian Grand Prix,69,Badoer,11,0
225,1996,2,Brazilian Grand Prix,84,Brundle,12,0
226,1996,3,Argentine Grand Prix,71,Hill,1,10
226,1996,3,Argentine Grand Prix,35,Villeneuve,2,6
226,1996,3,Argentine Grand Prix,55,Alesi,3,4
226,1996,3,Argentine Grand Prix,22,Barrichello,4,3
226,1996,3,Argentine Grand Prix,56,Irvine,5,2
226,1996,3,Argentine Grand Prix,50,Verstappen,6,1
226,1996,3,Argentine Grand Prix,14,Coulthard,7,0
226,1996,3,Argentine Grand Prix,44,Panis,8,0
226,1996,3,Argentine Grand Prix,65,Herbert,9,0
226,1996,3,Argentine Grand Prix,85,Montermini,10,0
227,1996,4,European Grand Prix,35,Villeneuve,1,10
